Kids_First_Biospecimen_ID,cluster_k
BS_X20JCR4H,E3
BS_X23724NJ,E2
BS_X3HR4Z21,E2
BS_X4DD4KSZ,E4
BS_X4X1SFSE,E1
BS_XG0DBWVT,E1
BS_XGDPK33A,E2
BS_XM1AHBDJ,E1
BS_XQ5SFW35,E2
BS_XQXXBWPD,E4
BS_XYVCMF4A,E2
BS_XZM79E42,E4
BS_YA0KMBRT,E2
BS_YDEVMD24,E2
BS_YMKQT5V0,E3
BS_YR12D1ZY,E3
BS_YSZRQ95C,E2
BS_YTWEM5SG,E3
BS_YZ2QFDAN,E2
BS_Z0ZPD9S9,E4
BS_Z3RCA1T9,E2
BS_Z8F3GM85,E4
BS_ZD5HN296,E4
BS_ZF6BSFNF,E2
BS_ZM97KKXE,E4
BS_ZV1P6W9C,E1
BS_ZVM8CAB0,E4
BS_ZZWMD6FA,E4
