Kids_First_Biospecimen_ID,cluster_k
BS_TTDNZTZ0,E2
BS_TTE04ZP8,E2
BS_TV5B86ZD,E1
BS_TVH33J9Q,E1
BS_TXZ7KHTQ,E1
BS_V0DQFC75,E1
BS_V3Z3DB4N,E1
BS_V558NW3Q,E2
BS_V6RSB5HQ,E1
BS_V8QWBVS3,E2
BS_VBMRQK4F,E2
BS_VDFXXMEX,E1
BS_VF3NVT4G,E2
BS_VKH87DD2,E2
BS_VKHJG2B8,E2
BS_VKYEM67A,E2
BS_VMQMGSJY,E2
BS_VVTHDRBD,E1
BS_W1385R8Y,E1
BS_W4DB5RP1,E1
BS_W7MFJZ5A,E2
BS_WBVSK3MP,E1
BS_WEKK6SHP,E1
BS_WHBEXD5H,E2
BS_WQ1YRTAT,E1
BS_WTJEDTZC,E2
BS_WVRX4C9Z,E2
BS_X0XXN9BK,E2
BS_X1G0TKP4,E2
BS_X20JCR4H,E2
BS_X23724NJ,E1
BS_X3HR4Z21,E1
BS_X4DD4KSZ,E2
BS_X4X1SFSE,E1
BS_XG0DBWVT,E1
BS_XGDPK33A,E1
BS_XM1AHBDJ,E1
BS_XQ5SFW35,E2
BS_XQXXBWPD,E2
BS_XYVCMF4A,E1
BS_XZM79E42,E2
BS_YA0KMBRT,E1
BS_YDEVMD24,E1
BS_YMKQT5V0,E2
BS_YR12D1ZY,E2
BS_YSZRQ95C,E1
BS_YTWEM5SG,E2
BS_YZ2QFDAN,E1
BS_Z0ZPD9S9,E2
BS_Z3RCA1T9,E2
BS_Z8F3GM85,E2
BS_ZD5HN296,E2
BS_ZF6BSFNF,E1
BS_ZM97KKXE,E2
BS_ZV1P6W9C,E1
BS_ZVM8CAB0,E2
BS_ZZWMD6FA,E2
